case;92;0.0%
mean;90;0.0%
afraid;90;0.0%
zametov;90;0.0%
standing;90;0.0%
shouted;89;0.0%
nastasya;89;0.0%
done;88;0.0%
father;88;0.0%
business;87;0.0%
zossimov;87;0.0%
mr;86;0.0%
added;86;0.0%
romanovitch;86;0.0%
least;85;0.0%
smile;85;0.0%
five;85;0.0%
ran;85;0.0%
ill;84;0.0%
rather;84;0.0%
voice;84;0.0%
hear;83;0.0%
help;82;0.0%
gone;81;0.0%
point;81;0.0%
thinking;81;0.0%
coming;81;0.0%
taken;80;0.0%
talking;80;0.0%
enough;80;0.0%
petrovna;79;0.0%
brought;79;0.0%
police;79;0.0%
feeling;78;0.0%
marfa;78;0.0%
side;78;0.0%
stairs;78;0.0%
class;78;0.0%
talk;78;0.0%
doing;78;0.0%
far;77;0.0%
found;77;0.0%
against;77;0.0%
keep;77;0.0%
sofa;77;0.0%
dear;77;0.0%
flat;77;0.0%
drunk;76;0.0%
lebeziatnikov;76;0.0%
sometimes;76;0.0%
sofya;76;0.0%
passed;76;0.0%
many;75;0.0%
love;75;0.0%
whether;75;0.0%
certain;74;0.0%
whom;74;0.0%
days;74;0.0%
till;73;0.0%
certainly;73;0.0%
read;73;0.0%
everyone;73;0.0%
sit;73;0.0%
work;72;0.0%
window;72;0.0%
nonsense;72;0.0%
since;72;0.0%
anyone;72;0.0%
ago;72;0.0%
straight;71;0.0%
later;71;0.0%
semyonovna;71;0.0%
pale;71;0.0%
ten;70;0.0%
leave;70;0.0%
opened;70;0.0%
corner;70;0.0%
landlady;70;0.0%
hour;70;0.0%
lying;68;0.0%
muttered;68;0.0%
noticed;68;0.0%
amalia;68;0.0%
ha;67;0.0%
part;67;0.0%
feel;67;0.0%
kept;67;0.0%
m;66;0.0%
blood;66;0.0%
lost;66;0.0%
happened;66;0.0%
re;66;0.0%
lay;66;0.0%
ever;66;0.0%
together;66;0.0%
set;66;0.0%
times;65;0.0%
silence;65;0.0%
need;65;0.0%
next;65;0.0%
nikolay;65;0.0%
letter;65;0.0%
used;65;0.0%
run;65;0.0%
getting;65;0.0%
sure;64;0.0%
someone;64;0.0%
laughing;63;0.0%
fellow;63;0.0%
live;63;0.0%
struck;62;0.0%
poor;62;0.0%
speaking;62;0.0%
each;61;0.0%
clear;61;0.0%
morning;61;0.0%
o;60;0.0%
besides;60;0.0%
late;60;0.0%
having;60;0.0%
lizaveta;60;0.0%
light;60;0.0%
tea;59;0.0%
present;59;0.0%
bed;59;0.0%
pocket;58;0.0%
afterwards;58;0.0%
especially;58;0.0%
listen;58;0.0%
ought;58;0.0%
axe;58;0.0%
sir;58;0.0%
tried;57;0.0%
sitting;57;0.0%
frightened;57;0.0%
position;57;0.0%
deal;57;0.0%
possible;56;0.0%
second;56;0.0%
answer;56;0.0%
please;56;0.0%
crowd;56;0.0%
drink;56;0.0%
lips;56;0.0%
evening;56;0.0%
clerk;56;0.0%
water;55;0.0%
observed;55;0.0%
few;55;0.0%
show;55;0.0%
minutes;55;0.0%
twenty;55;0.0%
turning;55;0.0%
conversation;55;0.0%
child;55;0.0%
given;55;0.0%
bye;55;0.0%
sudden;54;0.0%
chair;54;0.0%
waiting;54;0.0%
making;54;0.0%
full;54;0.0%
crime;53;0.0%
porter;53;0.0%
petersburg;53;0.0%
ready;53;0.0%
along;53;0.0%
note;53;0.0%
glad;53;0.0%
trying;53;0.0%
taking;52;0.0%
else;52;0.0%
hundred;52;0.0%
death;52;0.0%
reason;52;0.0%
repeated;52;0.0%
haste;52;0.0%
true;52;0.0%
short;51;0.0%
tears;51;0.0%
sent;51;0.0%
its;51;0.0%
doubt;51;0.0%
fell;51;0.0%
bring;51;0.0%
wife;51;0.0%
thousand;50;0.0%
knows;50;0.0%
murder;50;0.0%
saying;50;0.0%
fancy;50;0.0%
daughter;50;0.0%
stopped;50;0.0%
means;50;0.0%
dark;50;0.0%
morrow;50;0.0%
office;50;0.0%
